x, value, size 
1980,42, 5
1981,42, 5
1982,40, 5
1983,41, 5
1984,46, 10
1985,46, 10
1986,44, 5
1987,42, 5
1988,48, 10
1989,52, 15
1990,52, 15
1991,52, 15
1992,51, 15
1993,57, 20
1994,51, 15
1995,52, 15
1996,54, 15
1997,53, 15
1998,54, 15
1999,58, 20
2000,53, 15
2001,45, 5
2002,42, 5
2003,42, 5
2004,41, 5
2005,45, 5
2006,54, 15
2007,61, 20
2008,65, 25
2009,63, 20
2010,63, 20
2011,65, 25
2012,60, 20
2013,61, 20
2014,65, 25
2015,72, 30
2016,72, 30
2017,72, 30
2018,84, 35
2019,78, 35
2020,73, 30
2021,79, 35
